participant_id,parameter,posterior_mean,hdi_low,hdi_high
P117,omega_3,-111.44554343940828,-3300.4661591779904,3802.82120881832
P118,omega_3,-6.00475075417373,-6.290977530612546,-5.73296944303944
P119,omega_3,-6.007994809210751,-8.879647273118271,-2.9108028148425724
P120,omega_3,-6.010538043309245,-6.31710332577524,-5.721738493043597
P121,omega_3,-19.94123516025955,-2224.8949414412336,2061.687514426923
P122,omega_3,-6.639408567609641,-203.07730314278575,177.04775506962778
P123,omega_3,126.84018772271882,-5536.906969860449,4859.531811260825
P124,omega_3,33.58357231644214,-1326.9740590538145,1307.0425748506505
P125,omega_3,-5.995264212909099,-6.26522792811365,-5.705560103574357
P126,omega_3,-6.0190262820040745,-6.139916561284796,-5.894221703445862
P127,omega_3,-6.012051771618216,-6.177762198177318,-5.849439259837208
P128,omega_3,-6.01864510483722,-6.3517050532915205,-5.7499373559752
P129,omega_3,68.19543477128524,-17863.35795301664,17346.630466006955
P130,omega_3,-6.000219817511469,-6.260941838703003,-5.757194913240884
P131,omega_3,-5.996435772381457,-6.261125540912852,-5.695726876073344
P132,omega_3,-5.987377301884715,-6.393409907438727,-5.567439364646928
P133,omega_3,-6.004923317379991,-6.319706867699893,-5.65266828645454
P134,omega_3,-5.998704295006031,-6.226235509247795,-5.728092380730038
P135,omega_3,-12.832417260995662,-3156.9731603431965,2790.5446603605496
P136,omega_3,-36.2947521844524,-5184.0109092020975,4709.225471396423
P137,omega_3,-6.019816893724866,-6.309048837416026,-5.754379792768462
P138,omega_3,-6.000086016762568,-9.439289606846138,-2.6280170890896275
P139,omega_3,-6.027509639566627,-6.166502696486129,-5.900537958251134
P140,omega_3,-6.021411991022558,-6.430693465949655,-5.68861244280819
P141,omega_3,-146.48090807080564,-5026.076232933779,5143.574836115423
P142,omega_3,-6.037076689768989,-6.423969515860075,-5.613389749947465
P143,omega_3,-5.992125722424697,-6.967813922780337,-4.83001603478411
P144,omega_3,-6.008059318569564,-6.319762270534944,-5.72739955887503
P145,omega_3,-6.028233479898184,-6.3820442449500066,-5.684631126309
P146,omega_3,-5.644415577051224,-328.0881967153747,319.16767347375236
P147,omega_3,-2.681184949171194,-178.47628650687804,157.58270859742748
